#{"t_start": 1778424705.1441746, "env_id": "None"}
r,l,t
-1586797.896053,26279,192.675817
-107152.095102,26279,369.068603
411710.087733,26279,536.40362
388223.272751,26279,709.50218
180103.893012,26279,874.75568
604962.312342,26279,1039.893221
321231.696625,26279,1203.425371
276135.587093,26279,1372.050699
166437.971863,26279,1532.97214
236337.542548,26279,1702.527763
1272773.47516,26279,1872.623415
1008583.641681,26279,2049.571171
1317244.833578,26279,2211.652181
1337224.807788,26279,2382.692331
1275625.668478,26279,2557.040433
325417.084034,26279,2731.435452
1391536.556658,26279,2900.372396
1070057.380263,26279,3074.966869
436454.411885,26279,3244.557467
194096.631389,26279,3418.465136
1556208.511282,26279,3594.982865
1144048.918104,26279,3760.928243
783351.228965,26279,3934.010412
172105.021203,26279,4103.797412
720577.883179,26279,4275.321104
